,Country,WHIMed,SPIMed,GDPMed,WGIMed,Cluster
0,Switzerland,7.510300008773804,89.22999999999999,83.67804878000001,41.243523316062166,1
1,Iceland,7.504250049591066,89.325,82.96219511999999,46.0,1
2,Denmark,7.5775,90.29499999999999,81.19836672821424,43.73316062176165,1
3,Norway,7.51,90.33,82.684146345,46.349740932642476,1
4,Canada,7.296999992370605,87.94999999999999,81.88439024499999,50.0,1
5,Finland,7.7005,90.22,81.83292682999999,38.66321243523315,1
6,Netherlands,7.427949913024902,89.245,81.66097561000001,48.5,1
7,Sweden,7.34824994468689,89.065,82.484146345,41.0,1
8,New Zealand,7.303300062179566,87.28,81.95731707499999,55.79274611398963,1
9,Australia,7.25,87.87,82.6965810085714,56.606217616580295,1
10,Israel,7.185050010681153,81.615,82.52595818794646,37.20725388601036,1
11,Costa Rica,7.0829999980926495,79.7,79.327,35.5,1
12,Austria,7.181500053405761,87.445,81.642682925,42.5,1
13,Mexico,6.533000034332275,70.355,74.17,26.0,0
14,United States,6.9641499519348145,85.175,78.58902438999999,57.0,1
15,Brazil,6.39729993057251,72.105,74.387,28.6139896373057,0
16,Luxembourg,7.018,87.255,82.46707316999999,45.99999999999997,1
17,Ireland,6.999000118255615,87.46000000000001,82.18048780500001,52.378238341968895,1
18,Belgium,6.906999897003175,86.91,81.54390244000001,40.5,1
19,United Arab Emirates,6.710999881744385,69.185,79.4195,49.45854922279792,0
20,United Kingdom,6.998250057220459,86.575,81.20609756,51.51295336787564,1
21,Venezuela,4.989349842071533,60.885000000000005,72.0185,27.08290155440414,0
22,Singapore,6.42864990234375,83.095,83.196341465,49.5,1
23,Panama,6.3755,73.45500000000001,77.724,34.68888888888887,0
24,Germany,6.9895,88.565,80.991463415,43.0,1
25,Chile,6.46,79.82499999999999,80.106,37.5,1
26,France,6.5835,86.07499999999999,82.574390245,31.5,1
27,Argentina,6.237,77.44,76.79650000000001,29.0,1
28,Czechia,6.7815,84.325,78.90581444517856,23.29274611398963,1
29,Uruguay,6.44705009460449,79.935,77.5395,31.5,1
30,Colombia,6.211700086593628,70.115,76.364,33.5,0
31,Thailand,6.04,68.185,78.528,44.0,0
32,Saudi Arabia,6.392749931335449,62.445,77.112,36.8782383419689,0
33,Spain,6.380949943542481,85.055,83.30609756,32.5,1
34,Malta,6.564500093460086,83.08500000000001,82.451219515,46.0,1
35,Kuwait,6.105550050735475,72.48,79.693,59.99999999999997,0
36,El Salvador,6.1249999427795405,64.345,72.168,26.21761658031088,0
37,Guatemala,6.390450016021728,59.465,72.229,29.499999999999993,0
38,Uzbekistan,6.079349897384644,61.945,70.936,39.48445595854922,0
39,Japan,5.920500038146975,87.64,84.155365855,21.0,1
40,Ecuador,5.974,71.555,76.8805,25.5,0
41,Italy,6.1114999999999995,84.255,83.09512194999999,30.0,1
42,Bolivia,5.765499999999999,65.7,67.6645,33.0,0
43,Moldova,5.802199840545655,70.825,70.0415,28.41450777202072,0
44,Paraguay,5.666799905776978,67.63499999999999,73.36250000000001,37.5,0
45,Kazakhstan,5.8870000000000005,69.155,72.68,28.0,0
46,Slovenia,6.033,84.565,81.102439025,38.173575129533674,1
47,Lithuania,6.0504999999999995,82.82,75.22926829,22.007772020725383,1
48,Nicaragua,6.088000049591065,61.325,73.69550000000001,34.63471502590673,0
49,Peru,5.729000076293945,70.33500000000001,75.834,29.99222797927461,0
50,Belarus,5.5544497966766375,72.825,73.97804878,34.50000000000001,0
51,Poland,6.122899936676026,81.005,77.67804878000001,28.107512953367873,1
52,Croatia,5.496350091934204,80.86,77.775609755,23.410621761658028,1
53,Russia,5.682,71.17500000000001,71.495,26.269430051813465,0
54,Jamaica,5.869699954986572,72.35499999999999,71.831,38.857142857142854,0
55,Turkmenistan,5.511149953842163,54.614999999999995,68.856,89.5,2
56,Mauritius,5.8895,75.61500000000001,74.29451219500001,39.47222222222222,0
57,Estonia,5.816,85.1,77.86707317,26.0,1
58,Indonesia,5.2738001346588135,65.50999999999999,69.867,60.53108808290155,0
59,Vietnam,5.26424994468689,67.24000000000001,73.9505,31.27884615384616,0
60,Nigeria,4.974499940872191,51.71,52.615,48.0,2
61,Azerbaijan,5.2044999999999995,62.46,72.126,21.5,0
62,Pakistan,5.23150002670288,48.629999999999995,66.283,28.0,2
63,Jordan,5.0335,67.59,75.1995,28.639896373056988,0
64,Montenegro,5.4350000000000005,74.325,76.44512195,24.5,0
65,China,5.2455,62.88,77.856,17.821243523316056,0
66,Zambia,4.242,50.72,61.956999999999994,43.243523316062166,2
67,Romania,6.0075,75.9,75.06097561000001,28.0,0
68,Serbia,5.5005,75.125,75.413414635,23.722797927461137,0
69,Portugal,5.5515,84.42,81.22439023999999,26.067357512953365,1
70,Latvia,5.9365000000000006,81.02,74.60487804499999,23.347150259067362,1
71,Philippines,5.577500000000001,66.82499999999999,71.45150000000001,34.5,0
72,Morocco,5.1228999977111815,62.69,73.953,23.770725388601036,0
73,Albania,4.800849983215333,72.905,78.95349999999999,28.523316062176164,0
74,Bosnia and Herzegovina,5.284000080108645,70.55,76.62178571428572,28.5,0
75,Dominican Republic,5.3635,66.66499999999999,73.025,40.0,0
76,Mongolia,5.205,65.98,70.606,41.545336787564764,0
77,Greece,5.3225,81.96000000000001,81.28780488,18.9520725388601,1
78,Lebanon,4.984,66.725,79.2325,26.303108808290148,0
79,Hungary,5.689,78.185,75.692682925,23.70725388601036,1
80,Honduras,5.682,60.135,72.5375,35.15555555555555,0
81,Tajikistan,5.288049995422363,54.875,70.12899999999999,40.5,2
82,Tunisia,4.594249959945678,69.755,75.739,23.287564766839377,0
83,Bangladesh,4.6685,54.175,72.1745,29.5,2
84,Iran,4.69949995613098,63.120000000000005,75.50168749999999,42.64248704663212,0
85,Ukraine,4.446349969863892,72.13499999999999,71.33292682999999,30.165803108808287,0
86,Iraq,4.6259999999999994,54.185,70.3955,42.196891191709845,2
87,South Africa,4.769049894332886,67.43,64.9995,40.68134715025906,0
88,Ghana,4.764500108718872,62.0,64.0635,42.699481865284966,0
89,Zimbabwe,3.6775,51.015,60.5075,31.0440414507772,2
90,Liberia,4.266449975967408,48.405,60.8,28.49999999999997,2
91,India,4.1025,57.765,70.1335,30.0,2
92,Haiti,3.60895001888275,44.42,63.623000000000005,72.49999999999997,2
93,Nepal,4.93749994659424,58.78,68.84299999999999,39.47279792746113,0
94,Ethiopia,4.318,45.875,65.173,32.27272727272727,2
95,Sierra Leone,4.4405,47.665,59.7795,39.0,2
96,Mauritania,4.323999908447265,44.275,64.9255,46.5,2
97,Kenya,4.526000110626221,55.144999999999996,62.322,53.71373056994819,2
98,Armenia,4.467499963760375,72.03,74.785,25.866666666666664,0
99,Botswana,3.5389999999999997,63.879999999999995,65.443,45.999999999999986,0
100,Myanmar,4.377099924087524,53.665,65.76400000000001,53.0,2
101,Georgia,4.4295,73.86500000000001,73.31899999999999,27.5,0
102,Malawi,3.6751999855041504,51.754999999999995,63.1265,37.0,2
103,Sri Lanka,4.3640998916625975,68.55000000000001,75.5755,44.5,0
104,Cameroon,5.009499999999999,49.845,60.8215,37.83160621761658,2
105,Bulgaria,4.9719999999999995,75.96000000000001,74.71341463499999,24.943005181347147,0
106,Egypt,4.285200119018555,56.43,70.917,25.5,2
107,Yemen,3.625450015068056,37.96,64.87100000000001,26.000000000000004,2
108,Mali,4.4185,46.41,59.036500000000004,28.800518134715027,2
109,Uganda,4.175,47.785,62.7095,43.12564766839379,2
110,Senegal,4.656000000000001,55.894999999999996,67.6235,30.0880829015544,2
111,Gabon,4.7785,60.545,66.005,25.0,0
112,Niger,4.397,41.635000000000005,61.894499999999994,52.499999999999986,2
113,Cambodia,4.536649898529053,53.84,70.32,24.564766839378237,2
114,Tanzania,3.5497000217437744,52.25,66.30449999999999,33.5,2
115,Madagascar,3.8535,45.825,65.138,40.5,2
116,Chad,4.2759000663757325,32.445,52.650999999999996,20.99999999999998,2
117,Guinea,4.249,41.57,59.218,39.94444444444444,2
118,Burkina Faso,4.5055,49.175,59.431,32.088888888888874,2
119,Afghanistan,3.2815,38.36,63.048500000000004,20.0,2
120,Rwanda,3.4113500156402585,50.99,66.0065,20.0,2
121,Benin,4.382099969863892,53.865,59.972,27.33937823834197,2
122,Togo,4.042,50.69,60.572500000000005,25.5,2
123,Namibia,4.572550058364866,61.125,61.9875,34.64285714285714,0
